column,null_count,null_percentage,allow_null
Age,2087,15.19475791772843,True
Payment_Method,2052,14.939934473971606,True
Referral_Source,2021,14.714233709501274,True
Price,634,4.615944666909356,False
Reviews_Read,291,2.1186749180924647,True
Category,287,2.0895522388059704,False
Session_ID,280,2.038587550054605,False
Items_In_Cart,280,2.038587550054605,False
Time_of_Day,279,2.0313068802329814,False
Device_Type,278,2.0240262104113578,False
Campaign_Period,278,2.0240262104113578,False
Socioeconomic_Status_Score,275,2.002184200946487,True
Discount,273,1.9876228613032398,True
Engagement_Score,272,1.9803421914816162,True
Email_Interaction,264,1.9220968329086277,False
Gender,260,1.8929741536221332,True
Day,0,0.0,False
Purchase,0,0.0,False
